,,,,,,,,,
,,,,,,,,,
,Component No,Supplier Part No,Digikey Part No,Description,Footprint,Unit Price,Quantity,Total Price,Datasheet
,U1,STM32F427VGT6,497-17449-ND,Master microcontroller,LQFP100 14x14,11.84,1,11.84,https://www.st.com/content/ccc/resource/technical/document/datasheet/03/b4/b2/36/4c/72/49/29/DM00071990.pdf/files/DM00071990.pdf/jcr:content/translations/en.DM00071990.pdf
,U2,AH-1806-W,AH1806-W-7DICT-ND,Hall effect sensor,SOT23-3,0.87,1,0.87,https://www.diodes.com/assets/Datasheets/AH1806.pdf
,U3,FT232RL-REEL,768-1007-1-ND,FTDI USB-UART bridge,28-SSOP,4.5,1,4.5,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf
,U4,TPA301DR,296-1945-1-ND,Class AB audio amplifier,8-SOIC,0.99,1,0.99,https://www.ti.com/lit/ds/symlink/tpa301.pdf
,"U5
",MCP73812T-420I/OT,MCP73812T-420I/OTCT-ND,Lipo charging IC,SOT23-5,0.54,1,0.54,http://ww1.microchip.com/downloads/en/DeviceDoc/22036b.pdf
,U6,STC3100IST,497-10526-1-ND,Lipo monitor,MiniSO-8,2.56,1,2.56,https://www.st.com/content/ccc/resource/technical/document/datasheet/cb/7e/b5/82/36/e5/4c/f1/CD00219947.pdf/files/CD00219947.pdf/jcr:content/translations/en.CD00219947.pdf
,U7-U8,MIC5504-3.3YM5-TR,576-4764-6-ND,3.3V LDO regulator,SOT23-5,0.11,2,0.22,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC5501-02-03-04-300mA-Single-Output-LDO-in-Small-Packages-DS20006006B.pdf
,IC total,,,,,,8,21.52,
,"D1,D4",SML-D12U1WT86,SML-D12U1WT86CT-ND,Red LED,0603 imp,0.21,2,0.42,https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-d12x1-e.pdf
,D2,SML-D12M8WT86,511-1578-1-ND,Green LED,0603 imp,0.33,1,0.33,https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/opto/led/chip_mono/sml-d12x8_d13x8-e.pdf
,D3,APT1608QBC/D,754-1434-1-ND,Blue LED,0603 imp,0.46,1,0.46,http://www.kingbrightusa.com/images/catalog/SPEC/APT1608QBC-D.pdf
,D5-D7,"CCS15F40,L3F",CCS15F40L3FCT-ND,"Schottky diode
",0603 imp,0.48,3,1.44,
,Diode total,,,,,,7,2.65,
,"R1, R2, R7, R8, R9, R13",RC0603JR-0710KL,311-10KGRCT-ND,10k resistor,0603 imp,0.1,6,0.6,
,"R3, R4, R5, R6",CRGCQ0603F150R,A129678CT-ND,150 ohm resistor,0603 imp,0.1,4,0.4,
,R12,MCT06030C2003FP500,MCT0603-200K-CFCT-ND,200k resistor,0603 imp,0.17,1,0.17,
,"
R10",RT0603BRD072KL,YAG1626CT-ND,2k resistor,0603 imp,0.38,1,0.38,
,R11,CSRF0603FT10L0,CSRF0603FT10L0CT-ND,10m resistor,0603 imp,0.66,1,0.66,
,Resistor total,,,,,,13,2.21,
,"C1, C2",298D226X06R3M2T,718-1610-1-ND,2.2uF tantalum capacitor,0603 imp,1.84,2,3.68,http://www.vishay.com/docs/40065/298d298w.pdf
,"C3-C9, C11-C14, C16, C19, C20
, C25",C0603C104Z3VACTU,399-1100-1-ND,100nF capacitor,0603 imp,0.032,15,0.48,
,"C10, C15",C0603C475K9PACTU,399-3482-1-ND,4.7uf capacitor,0603 imp,0.17,2,0.34,https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf
,"C17, C18, C21-C24",CL10A105KP8NNNC,1276-1182-1-ND,1uF capacitor,0603 imp,0.1,6,0.6,
,Capacitor Total,,,,,,25,5.1,
,BT1,B2B-PH-K-S(LF)(SN),455-1704-ND,Lipo battery connector,JST PH B2B,0.17,1,0.17,http://www.jst-mfg.com/product/pdf/eng/ePH.pdf
,Battery,,,Lipo battery connector,,,1,,
,J1,20021121-00010C4LF,609-3695-2-ND,"10 pin arm connector
","Custom
",0.48,1,0.48,https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/20021121.pdf
,J2,693072010801,732-3820-1-ND,Microsd connector,"Custom
",3.2,1,3.2,https://www.we-online.de/katalog/datasheet/693072010801.pdf
,J3,10103594-0001LF,609-4050-6-ND,microusb connector,"Custom
",0.79,1,0.79,https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/10103594.pdf?__cf_chl_jschl_tk__=7e57e3a0750790c3c3609332b9aaf0fee1f2ea49-1579981011-0-AQPsGK0w38WfRoPvqghTZ9jiUKO35wYQUGk7hOw6nk0FjyHG9VK7JM83zCpsu8GvEiRnxx4jUOMbbIj4CuRpkSHue1crc8_HpRdThKXPRYtSJf5CtlhLUyb4JBfVV-ppeoUrhd94B5V-yltBiwYRhM7FR7nDY3yXm6Xiev_h4zv5uLlHBI6gvNDrD6GSLvtYonOnm5KUM5j62DmSecE3hL9XqDraIKeYK6lB-N0UQckhhlbF7ZcNM6VMQjR3DUWmwGIQOrPqQseghXhMXRLaUD7Hhcl4j3KazVH8NS9_t0nMJE-HdDydelnkENjzAxiWKPle6oeqZvHf6EGKLHd90qAUsyg9jDk4zD7uDztJ0WtGbWdRBW2RA9GkAONkygeT1Q
,LS1,SP-1605,433-1104-ND,"Speaker
","Custom
",1.66,1,1.66,https://www.soberton.com/wp-content/uploads/2018/07/SP-1605-June-2018.pdf
,"SW1, SW2",PTS645SL50SMTR92 LFS,CKN9088TR-ND,Tactitle switch,"Custom
",0.31,2,0.62,https://www.ckswitches.com/products/tactile/PTS645/
,Misc Total,,,,,,8,6.92,
,GRAND TOTAL,,,,,,61,38.4,
